pct,month,total_list_size
04Q,2012-03-01 00:00:00+00:00,129209
03L,2012-03-01 00:00:00+00:00,250394
00D,2012-03-01 00:00:00+00:00,287417
00P,2012-03-01 00:00:00+00:00,284656
07L,2012-03-01 00:00:00+00:00,201595
06N,2012-03-01 00:00:00+00:00,599723
11T,2012-03-01 00:00:00+00:00,211163
13P,2012-03-01 00:00:00+00:00,722998
00Y,2012-03-01 00:00:00+00:00,234665
07Q,2012-03-01 00:00:00+00:00,325795
04N,2012-03-01 00:00:00+00:00,121763
06W,2012-03-01 00:00:00+00:00,206626
10V,2012-03-01 00:00:00+00:00,204631
03G,2012-03-01 00:00:00+00:00,258661
04C,2012-03-01 00:00:00+00:00,373376
06H,2012-03-01 00:00:00+00:00,862271
99K,2012-03-01 00:00:00+00:00,164569
10Q,2012-03-01 00:00:00+00:00,692058
08C,2012-03-01 00:00:00+00:00,198465
03X,2012-03-01 00:00:00+00:00,95996
99J,2012-03-01 00:00:00+00:00,462210
11J,2012-03-01 00:00:00+00:00,758824
01A,2012-03-01 00:00:00+00:00,365220
06F,2012-03-01 00:00:00+00:00,434755
02Y,2012-03-01 00:00:00+00:00,301175
06K,2012-03-01 00:00:00+00:00,566492
03C,2012-03-01 00:00:00+00:00,359415
10A,2012-03-01 00:00:00+00:00,195578
11X,2012-03-01 00:00:00+00:00,543508
05N,2012-03-01 00:00:00+00:00,292609
05G,2012-03-01 00:00:00+00:00,203761
05H,2012-03-01 00:00:00+00:00,183653
5LE,2012-03-01 00:00:00+00:00,1170
07M,2012-03-01 00:00:00+00:00,362289
07T,2012-03-01 00:00:00+00:00,286449
03W,2012-03-01 00:00:00+00:00,315168
04J,2012-03-01 00:00:00+00:00,288707
11M,2012-03-01 00:00:00+00:00,615255
99H,2012-03-01 00:00:00+00:00,286030
10W,2012-03-01 00:00:00+00:00,129334
04M,2012-03-01 00:00:00+00:00,93459
05A,2012-03-01 00:00:00+00:00,465172
09Y,2012-03-01 00:00:00+00:00,349260
10J,2012-03-01 00:00:00+00:00,213947
01T,2012-03-01 00:00:00+00:00,155591
02X,2012-03-01 00:00:00+00:00,305214
03H,2012-03-01 00:00:00+00:00,167731
02T,2012-03-01 00:00:00+00:00,211010
05F,2012-03-01 00:00:00+00:00,181870
08Q,2012-03-01 00:00:00+00:00,326350
00H,2012-03-01 00:00:00+00:00,130014
02Q,2012-03-01 00:00:00+00:00,111651
00L,2012-03-01 00:00:00+00:00,321055
01E,2012-03-01 00:00:00+00:00,209837
02P,2012-03-01 00:00:00+00:00,236029
01D,2012-03-01 00:00:00+00:00,224239
10Y,2012-03-01 00:00:00+00:00,198020
05W,2012-03-01 00:00:00+00:00,278123
08F,2012-03-01 00:00:00+00:00,249389
09D,2012-03-01 00:00:00+00:00,302022
01K,2012-03-01 00:00:00+00:00,161049
06P,2012-03-01 00:00:00+00:00,212975
07G,2012-03-01 00:00:00+00:00,155905
06A,2012-03-01 00:00:00+00:00,252930
05Y,2012-03-01 00:00:00+00:00,261195
5LA,2012-03-01 00:00:00+00:00,5939
05L,2012-03-01 00:00:00+00:00,531655
01M,2012-03-01 00:00:00+00:00,186770
09J,2012-03-01 00:00:00+00:00,249475
06D,2012-03-01 00:00:00+00:00,109699
05Q,2012-03-01 00:00:00+00:00,208296
02E,2012-03-01 00:00:00+00:00,204308
00W,2012-03-01 00:00:00+00:00,201005
12D,2012-03-01 00:00:00+00:00,219221
06Q,2012-03-01 00:00:00+00:00,379032
10D,2012-03-01 00:00:00+00:00,106381
07X,2012-03-01 00:00:00+00:00,296933
02F,2012-03-01 00:00:00+00:00,250142
5MD,2012-03-01 00:00:00+00:00,602
08P,2012-03-01 00:00:00+00:00,195264
12A,2012-03-01 00:00:00+00:00,256064
03Q,2012-03-01 00:00:00+00:00,340472
99Q,2012-03-01 00:00:00+00:00,279559
07Y,2012-03-01 00:00:00+00:00,280207
99G,2012-03-01 00:00:00+00:00,184014
02V,2012-03-01 00:00:00+00:00,201657
07H,2012-03-01 00:00:00+00:00,291230
10M,2012-03-01 00:00:00+00:00,113978
01G,2012-03-01 00:00:00+00:00,243791
04V,2012-03-01 00:00:00+00:00,368905
08D,2012-03-01 00:00:00+00:00,271980
04G,2012-03-01 00:00:00+00:00,628637
04H,2012-03-01 00:00:00+00:00,128014
03D,2012-03-01 00:00:00+00:00,141470
